Column1	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11
1700021F05Rik	chr10	43534807	43534808	-	1700021F05Rik	XM_017314069.1	2390	chr10	43508818	43541031	0
2610528J11Rik	chr4	118526996	118526997	+	2610528J11Rik	XM_006503272.2	1100	chr4	118466551	118617709	0
4632428C04Rik	chr16	30008666	30008667	+	4632428C04Rik	NR_033631.1	2428	chr16	29968621	30097425	0
6430571L13Rik	chr9	107340639	107340640	+	6430571L13Rik	NM_175486.3	2552	chr9	107340320	107554537	0
9030404E10Rik	chr16	30039478	30039479	-	9030404E10Rik	NR_045878.1	1209	chr16	29968621	30097425	0
A330074K22Rik	chr8	120228229	120228230	-	A330074K22Rik	NR_110496.1	2489	chr8	120216640	120572589	0
Aatk	chr11	120015570	120015571	-	Aatk	XM_006531995.1	5285	chr11	120002574	120053330	0
Abca7	chr10	79996454	79996455	+	Abca7	XM_006513713.3	4585	chr10	79968951	80018228	0
Adrbk2	chr5	113015537	113015538	-	Adrbk2	NM_001285806.1	6600	chr5	112906802	113015557	0
Ahnak2	chr12	112802680	112802681	-	Ahnak2	XM_017315330.1	11374	chr12	112766167	112814740	0
Aim1l	chr4	134060728	134060729	+	Aim1l	XM_006538749.3	4757	chr4	134051593	134078346	0
Arhgef16	chr4	154299894	154299895	-	Arhgef16	NM_001112744.1	2717	chr4	154070551	154830245	0
Arsg	chr11	109543710	109543711	+	Arsg	NM_001166177.1	1551	chr11	109538063	109584402	0
Arsi	chr18	60912239	60912240	+	Arsi	NM_001038499.1	1722	chr18	60907952	60941959	0
Aspg	chr12	112106682	112106683	+	Aspg	NM_001081169.1	2732	chr12	112078424	112547133	0
Atp4a	chr7	30712208	30712209	+	Atp4a	NM_001290627.1	3497	chr7	30707890	30725882	0
B4galt2	chr4	117883071	117883072	-	B4galt2	XM_017320316.1	3298	chr4	117821794	117883187	0
Bdkrb2	chr12	105563171	105563172	+	Bdkrb2	NM_009747.2	1680	chr12	105444776	105608610	0
Cacna1c	chr6	118687093	118687094	-	Cacna1c	XM_017321365.1	11078	chr6	118648920	119010596	0
Ccdc24	chr4	117872469	117872470	-	Ccdc24	NM_001034876.1	1281	chr4	117821794	117883187	0
Celsr2	chr3	108415493	108415494	-	Celsr2	NM_001004177.2	10401	chr3	108335224	108424049	0
Cnn2	chr10	79988599	79988600	+	Cnn2	NM_007725.2	1782	chr10	79968951	80018228	0
Col6a1	chr10	76726043	76726044	-	Col6a1	NM_009933.4	3976	chr10	76679505	76734474	0
Coro2a	chr4	46566439	46566440	-	Coro2a	NM_178893.4	4112	chr4	46504611	46621826	0
Cotl1	chr8	119840578	119840579	-	Cotl1	NM_028071.3	1639	chr8	119609201	119911059	0
Cplx2	chr13	54301963	54301964	+	Cplx2	XM_017315376.1	1285	chr13	54245997	54404419	0
Cpm	chr10	117629499	117629500	+	Cpm	NM_027468.1	5195	chr10	117602503	117673748	0
Cpn1	chr19	43986519	43986520	-	Cpn1	NM_030703.2	1792	chr19	43979308	43998057	0
Cux2	chr5	121896344	121896345	-	Cux2	XM_017320655.1	7905	chr5	121841406	122107047	0
Cxcl10	chr5	92348888	92348889	-	Cxcl10	NM_021274.2	1101	chr5	92338028	92397453	0
Cxcl11	chr5	92363295	92363296	-	Cxcl11	NR_038116.1	1605	chr5	92338028	92397453	0
Dcst2	chr3	89350416	89350417	+	Dcst2	XM_017319855.1	2326	chr3	89347903	89369773	0
Dctd	chr8	48099091	48099092	+	Dctd	NM_001161516.1	1857	chr8	48089526	48101894	0
Dnm1	chr2	32349707	32349708	-	Dnm1	XM_006497662.2	3854	chr2	32312329	32353979	0
Efs	chr14	54926787	54926788	-	Efs	NM_010112.4	3571	chr14	54904730	54999548	0
Emid1	chr11	5134409	5134410	-	Emid1	XM_006514525.3	1529	chr11	5129651	5181983	0
Ephb2	chr4	136836005	136836006	-	Ephb2	XM_006538531.3	10926	chr4	136731868	136996775	0
Eya2	chr2	165595027	165595028	+	Eya2	NM_001271963.1	2459	chr2	165412787	165643173	0
F630040K05Rik	chr17	45734505	45734506	+	F630040K05Rik	XR_876829.1	2638	chr17	45717803	45759227	0
Fam83f	chr15	80671846	80671847	+	Fam83f	NM_145986.2	2993	chr15	80566917	80695182	0
Fblim1	chr4	141598224	141598225	-	Fblim1	XM_006539216.3	3071	chr4	141597736	141624082	0
Fer1l6	chr15	58595765	58595766	+	Fer1l6	XM_006521610.3	5593	chr15	58585239	58603238	0
Fgd2	chr17	29367034	29367035	+	Fgd2	XM_017317478.1	1847	chr17	29362633	29421563	0
Fgf21	chr7	45615489	45615490	-	Fgf21	NM_020013.4	947	chr7	45614038	45651517	0
Fut1	chr7	45617265	45617266	+	Fut1	XM_006540616.3	2484	chr7	45614038	45651517	0
Galns	chr8	122601197	122601198	-	Galns	XM_017312895.1	2047	chr8	122582158	122773908	0
Gas7	chr11	67571236	67571237	+	Gas7	XM_006532205.3	6903	chr11	67565252	67580245	0
Gjb3	chr4	127329124	127329125	-	Gjb3	NM_008126.2	1587	chr4	127309059	127361804	0
Gm11190	chr11	77929287	77929288	-	Gm11190	NR_033549.1	3414	chr11	77911202	77979846	0
Gm11978	chr11	6660235	6660236	-	Gm11978	NR_028586.1	1306	chr11	6654987	6678917	0
Gm16731	chr4	46539091	46539092	+	Gm16731	XR_881233.1	687	chr4	46504611	46621826	0
Gm21284	chr6	83568038	83568039	+	Gm21284	NR_078345.1	3739	chr6	83560795	83620017	0
Gm29993	chr2	165731566	165731567	-	Gm29993	XR_375224.2	411	chr2	165679593	165775055	0
Gm31251	chr14	54975263	54975264	+	Gm31251	XR_001781261.1	5712	chr14	54904730	54999548	0
Gm3336	chr8	70718344	70718345	+	Gm3336	XM_017312493.1	1314	chr8	70694651	70719144	0
Gm35456	chr17	45726890	45726891	-	Gm35456	XR_385596.3	4601	chr17	45717803	45759227	0
Gm35853	chr15	101358707	101358708	+	Gm35853	XR_875674.1	1957	chr15	101347625	101439597	0
Gm40251	chr4	127329244	127329245	+	Gm40251	XR_868154.2	1519	chr4	127309059	127361804	0
Gm41505	chr16	94752727	94752728	+	Gm41505	XR_001781952.1	571	chr16	94745584	94759654	0
Grb7	chr11	98446833	98446834	+	Grb7	NM_010346.2	2397	chr11	98417560	98518049	0
Grm4	chr17	27459665	27459666	-	Grm4	XM_006524320.3	2967	chr17	27291930	27525535	0
Hhip	chr8	80058007	80058008	-	Hhip	NM_020259.4	9078	chr8	80047856	80063472	0
Hnf4a	chr2	163547154	163547155	+	Hnf4a	NM_008261.3	4391	chr2	163527741	163591968	0
Idh2	chr7	80115349	80115350	-	Idh2	NM_173011.2	1703	chr7	80113626	80121751	0
Iffo2	chr4	139530547	139530548	+	Iffo2	NM_183148.3	5336	chr4	139516779	139587163	0
Igsf11	chr16	38902344	38902345	+	Igsf11	NM_170599.2	3414	chr16	38900039	38932827	0
